_id,Lokasi,Kecamatan,Kelurahan,Rayon,Luas genangan,Tinggi genangan,Lama genangan,Skor Luas Genangan,Skor Tinggi Genangan,Skor Lama Genangan
136,Jl. Jati Srono/Kp. Jati Purwo,Semampir,Ujung,Rayon Gubeng,0.216922,3,13,50,0,0
137,Jl. KH Mas Mansyur,Semampir,Ujung,Rayon Gubeng,10.5,4,16,100,0,0
138,Kp. Bulak Banteng,Kenjeran,Bulak Banteng,Rayon Gubeng,0.348132,4,16,50,0,0
139,Jl. Hang Tuah,Semampir,Ujung,Rayon Gubeng,10.5,10,90,100,25,50
140,Jl. Iskandar Muda,Semampir,Ujung,Rayon Gubeng,0.49055,4,5,50,0,0
141,Kp Wonosari Lor,Semampir,Ujung,Rayon Gubeng,0.776542,10,16,75,25,0
142,Jl. Tenggumung Baru,Semampir,Wonokusumo,Rayon Gubeng,0.22679,4,13,50,0,0
143,Kp Wonokusumo Lor,Semampir,Wonokusumo,Rayon Gubeng,0.434397,4,16,50,0,0
144,Jl. Bulaksari,Semampir,Wonokusumo,Rayon Gubeng,0.37232,10,16,50,25,0
145,Kp. Klampis Jaya,Sukolilo,Klampis Ngasem,Rayon Gubeng,1.351034,9,16,75,25,0
146,Jl. Prof Dr.Moestopo / Kedung Sroko,Tambaksari,Pacar Keling,Rayon Gubeng,0.408484,4,16,50,0,0
147,Jl. Residen Sudirman,Tambaksari,Pacar Keling,Rayon Gubeng,0.704542,4,31,75,0,25
148,Kp. Ploso Baru,Tambaksari,Pacar Keling,Rayon Gubeng,0.73972,4,75,75,0,50
149,Kp. Bogen,Tambaksari,Ploso,Rayon Gubeng,0.170663,9,16,50,25,0
150,Jl. Salak dan Sekitarnya,Tambaksari,Ploso,Rayon Gubeng,0.284249,20,58,50,50,25
151,Kp. Karang Empat,Tambaksari,Ploso,Rayon Gubeng,0.581005,8,75,75,25,50
152,Kp. Karang Asem,Tambaksari,Ploso,Rayon Gubeng,0.478234,4,31,50,0,25
153,Jl. Jagiran,Tambaksari,Tambaksari,Rayon Gubeng,0.383234,10,40,50,25,25
